<ENABLESAVE>

<MapName>: _Maze 4_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 200
<FOG>: 0,100,0, 0

<OBJECT>: Wall1x5
<OBJECT>: Wall1x4
<OBJECT>: Wall1x3
<OBJECT>: Wall1x2
<OBJECT>: Wall1x1
<OBJECT>: Door1-1
<OBJECT>: Cabinet2X1

<DUMMY>: D1,0,0,0

<CHARACTER>: Rozs, 29,0,2, n
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8
<Character/>

//<SURFACE>:   Z1Ceiling, sky2,  -10,8,-10, 56,0,71, s
<SURFACE>:   Z3PLANE1,  stone3,  1,0,1, 30,0,30, s
<SURFACE>:   PLANEBox,  wall13,  1,0,1, 30,10,30, s

<layer1>:Wall1x2, 1,0,7, e, Wall7
<layer1>:Wall1x2, 9,0,25, n, Wall7

<layer1>:Wall1x2, 10,0,8, n, Wall7
<layer1>:Wall1x5, 10,0,22, e, Wall7
<layer1>:Wall1x2, 10,0,23, e, Wall7
<layer1>:Wall1x2, 10,0,24, e, Wall7
<layer1>:Wall1x2, 10,0,27, e, Wall7
<layer1>:Wall1x2, 10,0,28, e, Wall7
<layer1>:Wall1x2, 10,0,29, e, Wall7
<layer1>:Wall1x2, 10,0,30, e, Wall7

<layer1>:Wall1x2, 11,0,10, e, Wall7
<layer1>:Wall1x3, 11,0,11, e, Wall7

<layer1>:Wall1x2, 12,0,1, e, Wall7
<layer1>:Wall1x2, 12,0,2, e, Wall7
<layer1>:Wall1x2, 12,0,5, e, Wall7

<layer1>:Wall1x1, 13,0,6, n, Wall7
<layer1>:Wall1x4, 13,0,7, e, Wall7
<layer1>:Wall1x2, 13,0,12, n, Wall7
<layer1>:Wall1x2, 13,0,16, n, Wall7

<layer1>:Wall1x5, 14,0,25, e, Wall7
<layer1>:Wall1x5, 14,0,26, e, Wall7
<layer1>:Wall1x2, 14,0,27, n, Wall7

<layer1>:Wall1x2, 15,0,8, e, Wall7
<layer1>:Wall1x2, 15,0,21, n, Wall7

<layer1>:Wall1x4, 16,0,1, n, Wall7
<layer1>:Wall1x2, 16,0,12, e, Wall7
<layer1>:Wall1x3, 16,0,13, e, Wall7
<layer1>:Wall1x3, 16,0,17, n, Wall7
<layer1>:Wall1x3, 16,0,20, e, Wall7

<layer1>:Wall1x5, 17,0,9, e, Wall7
<layer1>:Wall1x2, 17,0,16, e, Wall7
<layer1>:Wall1x3, 17,0,29, e, Wall7
<layer1>:Wall1x1, 17,0,30, e, Wall7

<layer1>:Wall1x2, 18,0,14, n, Wall7
<layer1>:Wall1x5, 18,0,23, e, Wall7
<layer1>:Wall1x1, 18,0,24, n, Wall7

<layer1>:Wall1x4, 19,0,3, e, Wall7
<layer1>:Wall1x3, 19,0,4, n, Wall7
<layer1>:Wall1x3, 19,0,10, e, Wall7
<layer1>:Wall1x1, 19,0,19, n, Wall7

<layer1>:Wall1x2, 21,0,11, n, Wall7
<layer1>:Wall1x2, 21,0,16, n, Wall7
<layer1>:Wall1x2, 21,0,21, e, Wall7
<layer1>:Wall1x2, 21,0,22, e, Wall7
<layer1>:Wall1x4, 21,0,27, n, Wall7

<layer1>:Wall1x2, 22,0,4, n, Wall7
<layer1>:Wall1x4, 22,0,6, e, Wall7
<layer1>:Wall1x2, 22,0,15, e, Wall7
<layer1>:Wall1x2, 22,0,18, n, Wall7
<layer1>:Wall1x3, 22,0,20, e, Wall7
<layer1>:Wall1x1, 22,0,24, n, Wall7
<layer1>:Wall1x3, 22,0,28, n, Wall7

<layer1>:Wall1x1, 24,0,9, n, Wall7
<layer1>:Wall1x5, 24,0,13, e, Wall7
<layer1>:Wall1x5, 24,0,14, e, Wall7

<layer1>:Wall1x3, 25,0,1, n, Wall7
<layer1>:Wall1x4, 25,0,7, n, Wall7
<layer1>:Wall1x4, 25,0,17, e, Wall7
<layer1>:Wall1x3, 25,0,23, e, Wall7
<layer1>:Wall1x4, 25,0,24, e, Wall7
<layer1>:Wall1x4, 25,0,27, e, Wall7
<layer1>:Wall1x4, 25,0,30, e, Wall7

<layer1>:Wall1x2, 27,0,15, e, Wall7
<layer1>:Wall1x2, 27,0,16, e, Wall7
<layer1>:Wall1x1, 27,0,20, n, Wall7
<layer1>:Wall1x3, 27,0,22, e, Wall7

<layer1>:Wall1x3, 28,0,4, e, Wall7
<layer1>:Wall1x2, 28,0,8, n, Wall7
<layer1>:Wall1x3, 28,0,10, e, Wall7

<layer1>:Wall1x2, 30,0,20, n, Wall7
<layer1>:Cabinet2x1, 1,0,6, e, Cabinet2x1-1

<layer1>:Door1-1, 1,0,2, s, Door3-4
<EVENT>: gotoPalitDamit, 1,2, 1,1, 0,0
<SETCHARPOS>: 15,0,31, w, ContinueMap

<layer1>:Door1-1, 30,0,2, n, Door3-4
<EVENT>: MazeLocked, 30,2, 1,2, 1,1
/<SETCHARPOS>: 2,0,2,s, ContinueMap

<LIGHT>: AMBIENT, 0,0,0, .8,.8,.8, DUMMYD1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Rozs
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Man1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Man2

<BLOCKROW>: 0
<BLOCKCOL>: 0
<BLOCKROW>: 31
<BLOCKCOL>: 31
