<StartEvent>: StartMaze

<ENABLESAVE>

<MapName>: _Maze 1_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 200
<FOG>: 0,100,0, 0

<OBJECT>: Wall1x5
<OBJECT>: Wall1x4
<OBJECT>: Wall1x3
<OBJECT>: Wall1x2
<OBJECT>: Wall1x1
<OBJECT>: Box2x2
<OBJECT>: Box3x2
<OBJECT>: Door1-1
<OBJECT>: Box1X1

<DUMMY>: D1,0,0,0

<CHARACTER>: Rozs, 30,0,6, n
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8
<CHARACTER/>

//<SURFACE>:   Z1Ceiling, sky2,  -10,8,-10, 56,0,71, s
<SURFACE>:   Z3PLANE1,  stone3,  1,0,1, 30,0,30, s
<SURFACE>:   PLANEBox,  wall13,  1,0,1, 29,10,30, s

<layer1>:Wall1x2, 27,0,3, n, Wall7
<layer1>:Box2x2, 12,0,22, w, Wall7
<layer1>:Wall1x1, 13,0,24, n, Wall7
<layer1>:Wall1x3, 10,0,25, w, Wall7
<layer1>:Wall1x3, 11,0,26, n, Wall7
<layer1>:Box2x2, 8,0,20, w, Wall7
<layer1>:Box2x2, 8,0,24, w, Wall7
<layer1>:Box2x2, 8,0,29, w, Wall7
<layer1>:Wall1x1, 9,0,28, n, Wall7
<layer1>:Wall1x2, 10,0,19, w, Wall7
<layer1>:Box2x2, 9,0,1, w, Wall7
<layer1>:Box2x2, 6,0,2, w, Wall7
<layer1>:Box2x2, 1,0,4, w, Wall7
<layer1>:Box2x2, 3,0,9, w, Wall7
<layer1>:Box2x2, 7,0,9, w, Wall7
<layer1>:Box2x2, 1,0,16, w, Wall7
<layer1>:Box2x2, 6,0,16, w, Wall7
<layer1>:Box2x2, 1,0,24, w, Wall7

<layer1>:Box3x2, 10,0,5, n, Wall7
<layer1>:Box3x2, 10,0,7, n, Wall7
<layer1>:Box3x2, 7,0,12, w, Wall7
<layer1>:Box3x2, 3,0,20, n, Wall7
<layer1>:Wall1x1, 3,0,1, n, Wall7
<layer1>:Wall1x1, 8,0,4, n, Wall7
<layer1>:Wall1x1, 2,0,6, n, Wall7
<layer1>:Wall1x1, 5,0,10, n, Wall7
<layer1>:Wall1x1, 3,0,15, n, Wall7
<layer1>:Wall1x1, 1,0,30, n, Wall7
<layer1>:Wall1x1, 4,0,30, n, Wall7

<layer1>:Wall1x4, 5,0,4, n, Wall7
<layer1>:Wall1x2, 9,0,11, w, Wall7
<layer1>:Wall1x2, 3,0,13, w, Wall7
<layer1>:Wall1x3, 5,0,22, n, Wall7

<layer1>:Wall1x3, 7,0,15, w, Wall7

<layer1>:Door1-1, 1,0,2, s, Door3-4
<EVENT>: Gotomaze02, 1,2, 1,1
<SETCHARPOS>: 2,0,2,s, ContinueMap

<layer1>:Door1-1, 29,0,5, n, Door3-4
<EVENT>: MazeLocked, 29,5, 1,1, 1,1

<LIGHT>: AMBIENT, 0,0,0, .8,.8,.8, DUMMYD1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Rozs

<layer1>: Box1X1, 5,0,8, s, Box-1
<layer1>: Box1X1, 6,0,10, s, Box-1
<layer1>: Box1X1, 12,0,12, s, Box-1
<layer1>: Box1X1, 12,0,13, s, Box-1
<layer1>: Box1X1, 20,0,8, s, Box-1
<layer1>: Box1X1, 20,0,9, s, Box-1
<layer1>: Box1X1, 14,0,18, s, Box-1
<layer1>: Box1X1, 15,0,18, s, Box-1

<BLOCKROW>: 0
<BLOCKCOL>: 0
<BLOCKROW>: 31
<BLOCKCOL>: 30
