<StartEvent>: Start-FSDulo
<ENABLESAVE>

<MapName>: _Fort Santiago Dulo_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 60
<FOG>: 0,500, 0, 0

<SOUND>: BoxMove
<OBJECT>: slight
<OBJECT>: tree
<OBJECT>: rizalhouse
<OBJECT>: fence4
<OBJECT>: door1-1
<OBJECT>: stair-1
<OBJECT>: blockx2
<OBJECT>: plant
<OBJECT>: grass
<OBJECT>: bench
<OBJECT>: snackarea
<OBJECT>: tree1
<OBJECT>: tree2
<OBJECT>: DaanPababa
<OBJECT>: Tunnel

<DUMMY>: D1,0,0,0
<DUMMY>: D2,28,0,6

<CHARACTER>: RozsF, 18,0,30, w
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8

<CHARACTER>: GuardGun1, 11,0, 5, n
<ANIMATION>: Wait, 1

<CHARACTER>: Guard1, 5, 0, 28, s
<ANIMATION>: Wait, 1

<CHARACTER>: Guard3, 20,0, 12, e
<ANIMATION>: Wait, 1

<CHARACTER/>

<SURFACE>:   PlaneBox,  cloud-1, 1,0,1, 26,10,34, s
<SURFACE>:   Z4PLANE1, wall6,    1,0,1, 26,0,34, s
<SURFACE>:   Z1Ceiling, cloud-1, 1,10,1, 26,0,34, s

<AI>: Guard1, AIIdle, Wait, None
<AI>: Guard3, AIIdle, Wait, None

<EVENT>: TalkBrigido, 3,27, 3,3, 1,1
<EVENT>: TalkAngelo, 18,11, 3,3, 1,1

<SURFACE>:   Z1PLANE1, land-4,  11,0.01,7, 1,0,2, s
<SURFACE>:   Z1PLANE1, land-4,  12,0.01,8, 3,0,1, s
<SURFACE>:   Z1PLANE1, land-4,  15,0.01,8, 3,0,1, s
<SURFACE>:   Z2PLANE1, grass2,  21,0.01,16, 4,0,4, s
<SURFACE>:   Z2PLANE1, grass2,  21,0.01,20, 4,0,3, s

<SURFACE>:   Z1PLANE1, grass3,  7,0.02,16, 3,0,3, s
<SURFACE>:   Z1PLANE1, 104,  12,0.02,21, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  12,0.02,22, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  13,0.02,21, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  13,0.02,22, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  12,0.02,23, 1,0,1, s
<SURFACE>:   Z1PLANE1, 104,  13,0.02,23, 1,0,1, s
<SURFACE>:   Z2PLANE1, grass2,  18,0.02,27, 3,0,3, s
<SURFACE>:   Z1PLANE1, grass4,  4,0.02,25, 5,0,3, s
<SURFACE>:   Z1PLANE1, land-2,  4,0.02,6, 2,0,3, s
<SURFACE>:   Z1PLANE1, land-2  4,0.02,9, 2,0,3, s
<SURFACE>:   Z1PLANE1, land-2,  6,0.02,6, 2,0,3, s
<SURFACE>:   Z1PLANE1, 247,  21,0.02,1, 6,0,8, s

<layer1>:slight, 2,0,3, s, slight-2
<layer1>:fence4, 13,0,11, e, gray-1
<layer1>:fence4, 14,0,11, e, gray-1
<layer1>:fence4, 15,0,11, e, gray-1
<layer1>:fence4, 16,0,11, e, gray-1
<layer1>:fence4, 17,0,11, e, gray-1
<layer1>:fence4, 17,0,11, s, gray-1
<layer1>:fence4, 17,0,10, s, gray-1
<layer1>:fence4, 17,0,9, s, gray-1
<layer1>:fence4, 17,0,8, s, gray-1

<layer1>:fence4, 19,0,14, n, gray-1
<layer1>:fence4, 19,0,15, n, gray-1
<layer1>:fence4, 19,0,16, n, gray-1
<layer1>:fence4, 19,0,17, n, gray-1
<layer1>:fence4, 19,0,18, n, gray-1
<layer1>:fence4, 19,0,19, n, gray-1
<layer1>:fence4, 19,0,20, n, gray-1
<layer1>:fence4, 19,0,21, n, gray-1
<layer1>:fence4, 19,0,22, n, gray-1
<layer1>:fence4, 19,0,23, n, gray-1
<layer1>:fence4, 19,0,24, n, gray-1
<layer1>:fence4, 19,0,14, w, gray-1
<layer1>:fence4, 20,0,14, w, gray-1
<layer1>:fence4, 21,0,14, w, gray-1
<layer1>:fence4, 22,0,14, w, gray-1
<layer1>:fence4, 23,0,14, w, gray-1
<layer1>:fence4, 24,0,14, w, gray-1
<layer1>:fence4, 25,0,14, w, gray-1
<layer1>:fence4, 19,0,24, e, gray-1
<layer1>:fence4, 20,0,24, e, gray-1
<layer1>:fence4, 21,0,24, e, gray-1
<layer1>:fence4, 22,0,24, e, gray-1
<layer1>:fence4, 23,0,24, e, gray-1
<layer1>:fence4, 24,0,24, e, gray-1
<layer1>:fence4, 25,0,24, e, gray-1


<layer1>:blockx2, 1,0,1, s, wall6
<layer1>:blockx2, 1,0,3, s, wall6
<layer1>:blockx2, 1,0,5, s, wall6
<layer1>:blockx2, 1,0,7, s, wall6
<layer1>:blockx2, 1,0,9, s, wall6
<layer1>:blockx2, 1,0,11, s, wall6
<layer1>:blockx2, 1,0,13, s, wall6
<layer1>:blockx2, 1,0,15, s, wall6
<layer1>:blockx2, 1,0,17, s, wall6
<layer1>:blockx2, 1,0,19, s, wall6
<layer1>:blockx2, 1,0,21, s, wall6
<layer1>:blockx2, 1,0,23, s, wall6
<layer1>:blockx2, 1,0,25, s, wall6
<layer1>:blockx2, 1,0,27, s, wall6
<layer1>:blockx2, 1,0,29, s, wall6
<layer1>:blockx2, 1,0,31, s, wall6
<layer1>:blockx2, 1,0,33, s, wall6
<layer1>:blockx2, 1,0.01,34, w, wall6
<layer1>:blockx2, 3,0,34, w, wall6
<layer1>:blockx2, 5,0,34, w, wall6
<layer1>:blockx2, 7,0,34, w, wall6
<layer1>:blockx2, 9,0,34, w, wall6
<layer1>:blockx2, 13,0,34, w, wall6
<layer1>:blockx2, 15,0,34, w, wall6
<layer1>:blockx2, 17,0,34, w, wall6
<layer1>:blockx2, 19,0,34, w, wall6
//<layer1>:blockx2, 20,0,34, w, wall6
<layer1>:blockx2, 21,0,34, w, wall6
<layer1>:blockx2, 23,0,34, w, wall6
<layer1>:blockx2, 25,0,34, w, wall6
<layer1>:blockx2, 26,0,33, n, wall6
<layer1>:blockx2, 26,0,31, n, wall6
<layer1>:blockx2, 26,0,29, n, wall6
<layer1>:blockx2, 26,0,27, n, wall6
<layer1>:blockx2, 26,0,23, n, wall6
<layer1>:blockx2, 26,0,21, n, wall6
<layer1>:blockx2, 26,0,19, n, wall6
<layer1>:blockx2, 26,0,17, n, wall6
<layer1>:blockx2, 26,0,15, n, wall6
<layer1>:blockx2, 26,0,13, n, wall6
<layer1>:blockx2, 26,0,11, n, wall6
<layer1>:blockx2, 26,0,9, n, wall6
<layer1>:blockx2, 24.7,0,8.5, e, wall6
<layer1>:blockx2, 22.7,0,8.5, e, wall6
<layer1>:blockx2, 20.7,0.01,8.5, e, wall6
<layer1>:blockx2, 17,0,1, e, wall6
<layer1>:blockx2, 15,0,1, e, wall6
<layer1>:blockx2, 13,0,1, e, wall6
<layer1>:blockx2, 11,0,1, e, wall6
<layer1>:blockx2, 9,0,1, e, wall6
<layer1>:blockx2, 7,0,1, e, wall6
<layer1>:blockx2, 5,0,1, e, wall6
<layer1>:blockx2, 3,0,1, e, wall6
<layer1>:blockx2, 1,0,1, e, wall6
<layer1>:blockx2, 20.5,0,1, n, wall6
<layer1>:blockx2, 20.5,0,3, n, wall6
<layer1>:blockx2, 20.5,0,5, n, wall6
<layer1>:blockx2, 20.5,0,7, n, wall6
<layer1>:blockx2, 20.5,0,1, n, wall6

<layer1>:tree1, 14,0,29, w, tree
<layer1>:tree, 15,0,29, w, tree
<layer1>:tree2, 16,0,29, w, tree
<layer1>:tree1, 14,0,31, n, tree
<layer1>:tree2, 17,0,30, s, tree

<layer1>:DaanPababa, 15,0,30, w, DaanPababa
<EVENT>: gotomaze04, 16,31, 1,1, 1,1
<SETCHARPOS>: 2,0,2,s, ContinueMap

<layer1>:Tunnel, 18,0,1, w, Tunnel-2
<EVENT>: gotoFSRshrine, 19,4, 1,1, 1,1
<SETCHARPOS>: 24,0,46,e, ContinueMap

<LIGHT>: AMBIENT, 0,0,0, .8,.8,.8, DUMMYD1
<LIGHT>: Directional, 0,0,0, .3,.3,.3, DUMMYD1

<LIGHT>: SPOT, 0,4,2, .5,.5,.5, RozsF
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Guard1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, GuardGun1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Guard3

<BLOCKROW>: 0
<BLOCKCOL>: 0
<BLOCKROW>: 35
<BLOCKCOL>: 27

