<ENABLESAVE>

<MapName>: _Fort Santiago Main Gate_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 60
<FOG>: 0,490, 100, 0

<SOUND>: BoxMove
<OBJECT>: stair-2
<OBJECT>: grass
<OBJECT>: wall1x5
<OBJECT>: slight
<OBJECT>: wall1x4
<OBJECT>: tree
<OBJECT>: tree1
<OBJECT>: tree2
<OBJECT>: tunnel
<OBJECT>: fence5

<DUMMY>: D1,0,0,0
<DUMMY>: D2,28,0,6

<CHARACTER>: RozsF, 8,0,8, s
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8

<CHARACTER>: GuardGun, 17,0,4, w
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun1, 19,0,4, w
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun2, 17,0,12, e
<ANIMATION>: Wait, 1

<CHARACTER>: GuardGun3, 19,0,12, e
<ANIMATION>: Wait, 1

<CHARACTER/>

//<SURFACE>:   PlaneBox,  163, 1,0,1, 30,10,15, s
<SURFACE>:   Z2PLANE1, land-3,  1,0,1, 30,0,16, s
<SURFACE>:   Z1Ceiling, cloud-1,  1,7,1, 30,0,16, s

<SURFACE>:   z1PLANE1,  land-2,  21,0.03,2,   5,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  26,0.03,2,   4,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  22,0.03,7,   8,0,3, s
<SURFACE>:   z1PLANE1,  land-2,  21,0.03,14,   5,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  26,0.03,14,   4,0,1, s
<SURFACE>:   z1PLANE1,  land-2,  1,0.03,2,   6,0,3, s
<SURFACE>:   z1PLANE1,  land-2,  7,0.03,2,   4,0,2, s
<SURFACE>:   z1PLANE1,  land-2,  11,0.03,2,   4,0,2, s
<SURFACE>:   z1PLANE1,  land-2,  1,0.03,12,   6,0,3, s
<SURFACE>:   z1PLANE1,  land-2,  7,0.03,13,   4,0,2, s
<SURFACE>:   z1PLANE1,  land-2,  11,0.03,13,   4,0,2, s

<layer1>:tree, 2, 0, 3, s, tree
<layer1>:grass, 11,0,2, e, grass2
<layer1>:grass, 11,0,3, e, grass2
<layer1>:grass, 11,0,13, w, grass2
<layer1>:grass, 11,0,14, w, grass2
<layer1>:grass, 12,0,2, e, grass2
<layer1>:grass, 12,0,3, e, grass2
<layer1>:grass, 12,0,13, w, grass2
<layer1>:grass, 12,0,14, w, grass2
<layer1>:grass, 13,0,2, e, grass2
<layer1>:grass, 13,0,3, e, grass2
<layer1>:grass, 13,0,13, w, grass2
<layer1>:grass, 13,0,14, w, grass2
<layer1>:grass, 14,0,2, s, grass2
<layer1>:grass, 14,0,14, s, grass2
<layer1>:slight, 14,0,3, s, slight-2
<layer1>:slight, 14,0,13, e, slight-2
<layer1>:slight, 19,0,2, n, slight-2
<layer1>:slight, 19,0,13, n, slight-2
<layer1>:grass, 21,0,2, e, grass2
<layer1>:grass, 21,0,14, w, grass2
<layer1>:grass, 22,0,14, w, grass2
<layer1>:grass, 22,0,2, e, grass2
<layer1>:grass, 23,0,14, w, grass2
<layer1>:grass, 23,0,2, e, grass2
<layer1>:grass, 24,0,2, e, grass2
<layer1>:grass, 24,0,14, w, grass2
<layer1>:grass, 25,0,14, w, grass2
<layer1>:grass, 25,0,2, e, grass2
<layer1>:grass, 26,0,2, e, grass2
<layer1>:grass, 26,0,14, w, grass2
<layer1>:grass, 27,0,14, w, grass2
<layer1>:grass, 27,0,2, e, grass2
<layer1>:grass, 28,0,2, e, grass2
<layer1>:grass, 28,0,14, w, grass2
<layer1>:grass, 29,0,14, w, grass2
<layer1>:grass, 29,0,2, e, grass2
<layer1>:grass, 30,0,2, e, grass2
<layer1>:grass, 30,0,14, w, grass2
<layer1>:grass, 22,0,7, w, grass2
<layer1>:grass, 22,0,8, e, grass2
<layer1>:grass, 22,0,9, e, grass2
<layer1>:grass, 23,0,9, e, grass2
<layer1>:grass, 23,0,8, e, grass2
<layer1>:grass, 23,0,7, w, grass2
<layer1>:grass, 23,0,7, w, grass2
<layer1>:grass, 23,0,8, e, grass2
<layer1>:grass, 23,0,9, e, grass2
<layer1>:grass, 24,0,9, e, grass2
<layer1>:grass, 24,0,8, e, grass2
<layer1>:grass, 24,0,7, w, grass2
<layer1>:grass, 25,0,7, w, grass2
<layer1>:grass, 25,0,8, w, grass2
<layer1>:grass, 25,0,9, e, grass2
<layer1>:grass, 26,0,9, e, grass2
<layer1>:grass, 26,0,8, w, grass2
<layer1>:grass, 26,0,7, e, grass2
<layer1>:grass, 27,0,9, e, grass2
<layer1>:grass, 27,0,8, w, grass2
<layer1>:grass, 27,0,7, e, grass2
<layer1>:grass, 28,0,9, e, grass2
<layer1>:grass, 28,0,8, w, grass2
<layer1>:grass, 28,0,7, e, grass2

<layer1>:fence5, 21,0,6, n, wood2
<layer1>:fence5, 21,0,7, n, wood2
<layer1>:fence5, 21,0,8, n, wood2
<layer1>:fence5, 21,0,9, n, wood2
<layer1>:fence5, 21,0,10, n, wood2
<layer1>:fence5, 21,0,10, e, wood2
<layer1>:fence5, 22,0,10, e, wood2
<layer1>:fence5, 23,0,10, e, wood2
<layer1>:fence5, 24,0,10, e, wood2
<layer1>:fence5, 25,0,10, e, wood2
<layer1>:fence5, 26,0,10, e, wood2
<layer1>:fence5, 27,0,10, e, wood2
<layer1>:fence5, 28,0,10, e, wood2
<layer1>:fence5, 29,0,10, e, wood2
<layer1>:fence5, 21,0,6, w, wood2
<layer1>:fence5, 22,0,6, w, wood2
<layer1>:fence5, 23,0,6, w, wood2
<layer1>:fence5, 24,0,6, w, wood2
<layer1>:fence5, 25,0,6, w, wood2
<layer1>:fence5, 26,0,6, w, wood2
<layer1>:fence5, 27,0,6, w, wood2
<layer1>:fence5, 28,0,6, w, wood2
<layer1>:fence5, 29,0,6, w, wood2
<layer1>:fence5, 20,0,2, n, wood2
<layer1>:fence5, 20,0,3, n, wood2
<layer1>:fence5, 20,0,3, e, wood2
<layer1>:fence5, 21,0,3, e, wood2
<layer1>:fence5, 22,0,3, e, wood2
<layer1>:fence5, 23,0,3, e, wood2
<layer1>:fence5, 24,0,3, e, wood2
<layer1>:fence5, 25,0,3, e, wood2
<layer1>:fence5, 26,0,3, e, wood2
<layer1>:fence5, 27,0,3, e, wood2
<layer1>:fence5, 28,0,3, e, wood2
<layer1>:fence5, 29,0,3, e, wood2
<layer1>:fence5, 20,0,13, n, wood2
<layer1>:fence5, 20,0,14, n, wood2
<layer1>:fence5, 20,0,13, w, wood2
<layer1>:fence5, 21,0,13, w, wood2
<layer1>:fence5, 22,0,13, w, wood2
<layer1>:fence5, 23,0,13, w, wood2
<layer1>:fence5, 24,0,13, w, wood2
<layer1>:fence5, 25,0,13, w, wood2
<layer1>:fence5, 26,0,13, w, wood2
<layer1>:fence5, 27,0,13, w, wood2
<layer1>:fence5, 28,0,13, w, wood2
<layer1>:fence5, 29,0,13, w, wood2

<layer1>:fence5, 2,0,5, e, wood2
<layer1>:fence5, 3,0,5, e, wood2
<layer1>:fence5, 4,0,5, e, wood2
<layer1>:fence5, 5,0,5, e, wood2
<layer1>:fence5, 6,0,5, e, wood2
<layer1>:fence5, 7,0,5, e, wood2
<layer1>:fence5, 7,0,5, s, wood2
<layer1>:fence5, 7,0,4, s, wood2
<layer1>:fence5, 8,0,4, e, wood2
<layer1>:fence5, 9,0,4, e, wood2
<layer1>:fence5, 10,0,4, e, wood2
<layer1>:fence5, 11,0,4, e, wood2
<layer1>:fence5, 12,0,4, e, wood2
<layer1>:fence5, 13,0,4, e, wood2
<layer1>:fence5, 14,0,4, e, wood2
<layer1>:fence5, 15,0,4, e, wood2
<layer1>:fence5, 15,0,4, s, wood2
<layer1>:fence5, 15,0,3, s, wood2
<layer1>:fence5, 15,0,2, s, wood2
<layer1>:fence5, 2,0,11, w, wood2
<layer1>:fence5, 3,0,11, w, wood2
<layer1>:fence5, 4,0,11, w, wood2
<layer1>:fence5, 5,0,11, w, wood2
<layer1>:fence5, 6,0,11, w, wood2
<layer1>:fence5, 7,0,11, w, wood2
<layer1>:fence5, 7,0,11, s, wood2
<layer1>:fence5, 7,0,12, s, wood2
<layer1>:fence5, 7,0,12, w, wood2
<layer1>:fence5, 7,0,12, w, wood2
<layer1>:fence5, 8,0,12, w, wood2
<layer1>:fence5, 9,0,12, w, wood2
<layer1>:fence5, 10,0,12, w, wood2
<layer1>:fence5, 11,0,12, w, wood2
<layer1>:fence5, 12,0,12, w, wood2
<layer1>:fence5, 13,0,12, w, wood2
<layer1>:fence5, 14,0,12, w, wood2
<layer1>:fence5, 15,0,12, w, wood2
<layer1>:fence5, 15,0,12, s, wood2
<layer1>:fence5, 15,0,13, s, wood2
<layer1>:fence5, 15,0,14, s, wood2

<layer1>:wall1x5, 1,0,15, w, 163
<layer1>:wall1x5, 6,0,15, w, 163
<layer1>:wall1x5, 11,0,15, w, 163
<layer1>:wall1x5, 16,0,15, w, 163
<layer1>:wall1x5, 21,0,15, w, 163
<layer1>:wall1x5, 26,0,15, w, 163

<layer1>:wall1x5, 1,0,1, e, 163
<layer1>:wall1x5, 6,0,1, e, 163
<layer1>:wall1x5, 11,0,1, e, 163
<layer1>:wall1x5, 16,0,1, e, 163
<layer1>:wall1x5, 21,0,1, e, 163
<layer1>:wall1x5, 26,0,1, e, 163

<layer1>:wall1x5, 1,0,1, s, 163
<layer1>:wall1x5, 1,0,6, s, 163
<layer1>:wall1x5, 1,0,11, s, 163

<layer1>:wall1x5, 30,0,1, n, 163
<layer1>:wall1x5, 30,0,6, n, 163
<layer1>:wall1x5, 30,0,11, n, 163

<layer1>:wall1x5, 1,5,15, w, 163
<layer1>:wall1x5, 6,5,15, w, 163
<layer1>:wall1x5, 11,5,15, w, 163
<layer1>:wall1x5, 16,5,15, w, 163
<layer1>:wall1x5, 21,5,15, w, 163
<layer1>:wall1x5, 26,5,15, w, 163

<layer1>:wall1x5, 1,5,1, e, 163
<layer1>:wall1x5, 6,5,1, e, 163
<layer1>:wall1x5, 11,5,1, e, 163
<layer1>:wall1x5, 16,5,1, e, 163
<layer1>:wall1x5, 21,5,1, e, 163
<layer1>:wall1x5, 26,5,1, e, 163

<layer1>:wall1x5, 1,5,1, s, 163
<layer1>:wall1x5, 1,5,6, s, 163
<layer1>:wall1x5, 1,5,11, s, 163

<layer1>:wall1x5, 30,5,1, n, 163
<layer1>:wall1x5, 30,5,6, n, 163
<layer1>:wall1x5, 30,5,11, n, 163

//Papasok sa Fort Santiago Front
<layer1>:tunnel, 16,0,1, w, tunnel-2
<EVENT>: gotoFSfront, 17,4, 1,2, 1,1
<SETCHARPOS>: 19,0,45,e, ContinueMap

//Papasok sa Fort Santiago Rizal Shrine
<layer1>:tunnel, 16,0,13, e, tunnel-2
<EVENT>: gotoFSRShrine, 17,12, 1,2, 1,1
<SETCHARPOS>: 17,0,5,w, ContinueMap

//Papunta sa Guard House
<layer1>:tunnel, 0.5, 3.6, 7.5, s, tunnel-2
<layer1>:stair-2, 4,0,8, s, 1
<layer1>:stair-2, 4,0,9, s, 1
<EVENT>: gotoFSgHouse, 7,8, 2,2, 1,1
<SETCHARPOS>: 10,0,4,n, ContinueMap

<LIGHT>: AMBIENT, 0,0,0, .8,.8,.8, DUMMYD1
<LIGHT>: Directional, 0,0,0, .3,.3,.3, DUMMYD1

<LIGHT>: SPOT, 0,4,2, .5,.5,.5, RozsF
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, GuardGun1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, GuardGun2
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, GuardGun3
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, GuardGun


<BLOCKROW>: 0
<BLOCKCOL>: 0
<BLOCKROW>: 50
<BLOCKCOL>: 35
