<StartEvent>: StartMaze3
<ENABLESAVE>

<MapName>: _Maze 3_

<DRAWBACK>: 700
<LMOUSE>: 27
<HMOUSE>: 200
<FOG>: 0,100,0, 0

<OBJECT>: Wall1x5
<OBJECT>: Wall1x4
<OBJECT>: Wall1x3
<OBJECT>: Wall1x2
<OBJECT>: Wall1x1
<OBJECT>: Door1-1

<DUMMY>: D1,0,0,0

<CHARACTER>: Rozs, 34,0,2, n
<ANIMATION>: Wait, 1
<ANIMATION>: Walk, 8
<ANIMATION>: Run,  8
<ANIMATION>: Push, 8
<ANIMATION>: Dock, 8
<Character/>

//<SURFACE>:   Z1Ceiling, sky2,  -10,8,-10, 56,0,71, s
<SURFACE>:   Z3PLANE1,  stone3,  1,0,1, 35,0,30, s
<SURFACE>:   PLANEBox,  wall13,  1,0,1, 35,10,30, s

<layer1>:Wall1x2, 1,0,4, e, Wall7
<layer1>:Wall1x3, 30,0,9, n, Wall7
<layer1>:Wall1x4, 30,0,23, e, Wall7
<layer1>:Wall1x4, 30,0,24, e, Wall7

<layer1>:Wall1x5, 31,0,14, e, Wall7

<layer1>:Wall1x4, 32,0,3, n, Wall7
<layer1>:Wall1x2, 32,0,21, n, Wall7
<layer1>:Wall1x3, 32,0,25, n, Wall7
<layer1>:Wall1x4, 32,0,30, e, Wall7

<layer1>:Wall1x3, 33,0,9, e, Wall7
<layer1>:Wall1x2, 33,0,12, n, Wall7
<layer1>:Wall1x2, 33,0,15, n, Wall7

<layer1>:Wall1x2, 35,0,19, n, Wall7
<layer1>:Wall1x1, 35,0,27, n, Wall7

<layer1>:Door1-1, 1,0,2, s, Door3-4
<EVENT>: gotomaze04, 1,2, 1,1, 1,1
<SETCHARPOS>: 29,0,2,n, ContinueMap

<layer1>:Door1-1, 35,0,4, n, Door3-4
<EVENT>: MazeLocked, 35,4, 1,2, 1,1
/<SETCHARPOS>: 29,0,2,n, ContinueMap

<LIGHT>: AMBIENT, 0,0,0, .8,.8,.8, DUMMYD1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Rozs
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Man1
<LIGHT>: SPOT, 0,4,2, .5,.5,.5, Man2

<BLOCKROW>: 0
<BLOCKCOL>: 0
<BLOCKROW>: 31
<BLOCKCOL>: 36
